University,Topic,Question,Expected_Answer
Nizam's Institute of Medical Sciences,Placements,What is the highest placement package at Nizam's Institute of Medical Sciences?,The highest placement package at Nizam's Institute of Medical Sciences is 20.7 Lakh Per Annum.
Nizam's Institute of Medical Sciences,Facilities,Does Nizam's Institute of Medical Sciences have a hostel and what is the fee?,"Yes, Nizam's Institute of Medical Sciences has a hostel for both boys and girls. The fee is 52677 and the mess fee is 35332."
Nizam's Institute of Medical Sciences,Facilities,What are the library timings for Nizam's Institute of Medical Sciences?,The library timings for Nizam's Institute of Medical Sciences are 8:00 AM to 8:00 PM.
Nizam's Institute of Medical Sciences,Academics,What is the attendance rule at Nizam's Institute of Medical Sciences?,The attendance rule at Nizam's Institute of Medical Sciences is Minimum 75% attendance mandatory.
Institute of Management Studies,Fees,What is the tuition fee for Institute of Management Studies?,The tuition fee for Institute of Management Studies is 144510 per semester.
Institute of Management Studies,Placements,What is the highest placement package at Institute of Management Studies?,The highest placement package at Institute of Management Studies is 25.7 Lakh Per Annum.
Institute of Management Studies,Facilities,Does Institute of Management Studies have a hostel and what is the fee?,"Yes, Institute of Management Studies has a hostel for both boys and girls. The fee is 77037 and the mess fee is 29158."
Institute of Management Studies,Facilities,What are the library timings for Institute of Management Studies?,The library timings for Institute of Management Studies are 8:00 AM to 8:00 PM.
Institute of Management Studies,Academics,What is the attendance rule at Institute of Management Studies?,The attendance rule at Institute of Management Studies is Minimum 75% attendance mandatory.
Nirma University,Fees,What is the tuition fee for Nirma University?,The tuition fee for Nirma University is 79574 per semester.
Nirma University,Placements,What is the highest placement package at Nirma University?,The highest placement package at Nirma University is 37.6 Lakh Per Annum.
Nirma University,Facilities,Does Nirma University have a hostel and what is the fee?,"Yes, Nirma University has a hostel for both boys and girls. The fee is 80891 and the mess fee is 41497."
Nirma University,Facilities,What are the library timings for Nirma University?,The library timings for Nirma University are 8:00 AM to 8:00 PM.
Nirma University,Academics,What is the attendance rule at Nirma University?,The attendance rule at Nirma University is Minimum 75% attendance mandatory.
National Institute of Industrial Engineering,Fees,What is the tuition fee for National Institute of Industrial Engineering?,The tuition fee for National Institute of Industrial Engineering is 137140 per semester.
National Institute of Industrial Engineering,Placements,What is the highest placement package at National Institute of Industrial Engineering?,The highest placement package at National Institute of Industrial Engineering is 30.6 Lakh Per Annum.
National Institute of Industrial Engineering,Facilities,Does National Institute of Industrial Engineering have a hostel and what is the fee?,"Yes, National Institute of Industrial Engineering has a hostel for both boys and girls. The fee is 48335 and the mess fee is 42401."
National Institute of Industrial Engineering,Facilities,What are the library timings for National Institute of Industrial Engineering?,The library timings for National Institute of Industrial Engineering are 8:00 AM to 8:00 PM.
National Institute of Industrial Engineering,Academics,What is the attendance rule at National Institute of Industrial Engineering?,The attendance rule at National Institute of Industrial Engineering is Minimum 75% attendance mandatory.
National Institute of Technology Agartala,Fees,What is the tuition fee for National Institute of Technology Agartala?,The tuition fee for National Institute of Technology Agartala is 124231 per semester.
National Institute of Technology Agartala,Placements,What is the highest placement package at National Institute of Technology Agartala?,The highest placement package at National Institute of Technology Agartala is 39.3 Lakh Per Annum.
National Institute of Technology Agartala,Facilities,Does National Institute of Technology Agartala have a hostel and what is the fee?,"Yes, National Institute of Technology Agartala has a hostel for both boys and girls. The fee is 45743 and the mess fee is 37165."
National Institute of Technology Agartala,Facilities,What are the library timings for National Institute of Technology Agartala?,The library timings for National Institute of Technology Agartala are 8:00 AM to 8:00 PM.
National Institute of Technology Agartala,Academics,What is the attendance rule at National Institute of Technology Agartala?,The attendance rule at National Institute of Technology Agartala is Minimum 75% attendance mandatory.
National Institute of Technology Andhra Pradesh,Fees,What is the tuition fee for National Institute of Technology Andhra Pradesh?,The tuition fee for National Institute of Technology Andhra Pradesh is 89071 per semester.
National Institute of Technology Andhra Pradesh,Placements,What is the highest placement package at National Institute of Technology Andhra Pradesh?,The highest placement package at National Institute of Technology Andhra Pradesh is 34.4 Lakh Per Annum.
National Institute of Technology Andhra Pradesh,Facilities,Does National Institute of Technology Andhra Pradesh have a hostel and what is the fee?,"Yes, National Institute of Technology Andhra Pradesh has a hostel for both boys and girls. The fee is 59040 and the mess fee is 38786."
National Institute of Technology Andhra Pradesh,Facilities,What are the library timings for National Institute of Technology Andhra Pradesh?,The library timings for National Institute of Technology Andhra Pradesh are 8:00 AM to 8:00 PM.
National Institute of Technology Andhra Pradesh,Academics,What is the attendance rule at National Institute of Technology Andhra Pradesh?,The attendance rule at National Institute of Technology Andhra Pradesh is Minimum 75% attendance mandatory.
National Institute of Technology Arunachal Pradesh,Fees,What is the tuition fee for National Institute of Technology Arunachal Pradesh?,The tuition fee for National Institute of Technology Arunachal Pradesh is 140851 per semester.
National Institute of Technology Arunachal Pradesh,Placements,What is the highest placement package at National Institute of Technology Arunachal Pradesh?,The highest placement package at National Institute of Technology Arunachal Pradesh is 23.3 Lakh Per Annum.
National Institute of Technology Arunachal Pradesh,Facilities,Does National Institute of Technology Arunachal Pradesh have a hostel and what is the fee?,"Yes, National Institute of Technology Arunachal Pradesh has a hostel for both boys and girls. The fee is 46689 and the mess fee is 28003."
National Institute of Technology Arunachal Pradesh,Facilities,What are the library timings for National Institute of Technology Arunachal Pradesh?,The library timings for National Institute of Technology Arunachal Pradesh are 8:00 AM to 8:00 PM.
National Institute of Technology Arunachal Pradesh,Academics,What is the attendance rule at National Institute of Technology Arunachal Pradesh?,The attendance rule at National Institute of Technology Arunachal Pradesh is Minimum 75% attendance mandatory.
National Institute of Technology Calicut,Fees,What is the tuition fee for National Institute of Technology Calicut?,The tuition fee for National Institute of Technology Calicut is 48051 per semester.
National Institute of Technology Calicut,Placements,What is the highest placement package at National Institute of Technology Calicut?,The highest placement package at National Institute of Technology Calicut is 27.5 Lakh Per Annum.
National Institute of Technology Calicut,Facilities,Does National Institute of Technology Calicut have a hostel and what is the fee?,"Yes, National Institute of Technology Calicut has a hostel for both boys and girls. The fee is 51658 and the mess fee is 30576."
National Institute of Technology Calicut,Facilities,What are the library timings for National Institute of Technology Calicut?,The library timings for National Institute of Technology Calicut are 8:00 AM to 8:00 PM.
National Institute of Technology Calicut,Academics,What is the attendance rule at National Institute of Technology Calicut?,The attendance rule at National Institute of Technology Calicut is Minimum 75% attendance mandatory.
National Institute of Technology Delhi,Fees,What is the tuition fee for National Institute of Technology Delhi?,The tuition fee for National Institute of Technology Delhi is 107070 per semester.
National Institute of Technology Delhi,Placements,What is the highest placement package at National Institute of Technology Delhi?,The highest placement package at National Institute of Technology Delhi is 0 Lakh Per Annum.
National Institute of Technology Delhi,Facilities,Does National Institute of Technology Delhi have a hostel and what is the fee?,"Yes, National Institute of Technology Delhi has a hostel for both boys and girls. The fee is 63419 and the mess fee is 40869."
National Institute of Technology Delhi,Facilities,What are the library timings for National Institute of Technology Delhi?,The library timings for National Institute of Technology Delhi are 8:00 AM to 8:00 PM.
National Institute of Technology Delhi,Academics,What is the attendance rule at National Institute of Technology Delhi?,The attendance rule at National Institute of Technology Delhi is Minimum 75% attendance mandatory.
National Institute of Technology Durgapur,Fees,What is the tuition fee for National Institute of Technology Durgapur?,The tuition fee for National Institute of Technology Durgapur is 125608 per semester.
National Institute of Technology Durgapur,Placements,What is the highest placement package at National Institute of Technology Durgapur?,The highest placement package at National Institute of Technology Durgapur is 24.4 Lakh Per Annum.
National Institute of Technology Durgapur,Facilities,Does National Institute of Technology Durgapur have a hostel and what is the fee?,"Yes, National Institute of Technology Durgapur has a hostel for both boys and girls. The fee is 48809 and the mess fee is 31390."
National Institute of Technology Durgapur,Facilities,What are the library timings for National Institute of Technology Durgapur?,The library timings for National Institute of Technology Durgapur are 8:00 AM to 8:00 PM.
National Institute of Technology Durgapur,Academics,What is the attendance rule at National Institute of Technology Durgapur?,The attendance rule at National Institute of Technology Durgapur is Minimum 75% attendance mandatory.
National Institute of Technology Goa,Fees,What is the tuition fee for National Institute of Technology Goa?,The tuition fee for National Institute of Technology Goa is 123183 per semester.
National Institute of Technology Goa,Placements,What is the highest placement package at National Institute of Technology Goa?,The highest placement package at National Institute of Technology Goa is 38.0 Lakh Per Annum.
National Institute of Technology Goa,Facilities,Does National Institute of Technology Goa have a hostel and what is the fee?,"Yes, National Institute of Technology Goa has a hostel for both boys and girls. The fee is 62225 and the mess fee is 31778."
National Institute of Technology Goa,Facilities,What are the library timings for National Institute of Technology Goa?,The library timings for National Institute of Technology Goa are 8:00 AM to 8:00 PM.
National Institute of Technology Goa,Academics,What is the attendance rule at National Institute of Technology Goa?,The attendance rule at National Institute of Technology Goa is Minimum 75% attendance mandatory.
National Institute of Technology Hamirpur,Fees,What is the tuition fee for National Institute of Technology Hamirpur?,The tuition fee for National Institute of Technology Hamirpur is 2026 per semester.
National Institute of Technology Hamirpur,Placements,What is the highest placement package at National Institute of Technology Hamirpur?,The highest placement package at National Institute of Technology Hamirpur is 16.1 Lakh Per Annum.
National Institute of Technology Hamirpur,Facilities,Does National Institute of Technology Hamirpur have a hostel and what is the fee?,"Yes, National Institute of Technology Hamirpur has a hostel for both boys and girls. The fee is 2025 and the mess fee is 2026."
National Institute of Technology Hamirpur,Facilities,What are the library timings for National Institute of Technology Hamirpur?,The library timings for National Institute of Technology Hamirpur are 8:00 AM to 8:00 PM.
National Institute of Technology Hamirpur,Academics,What is the attendance rule at National Institute of Technology Hamirpur?,The attendance rule at National Institute of Technology Hamirpur is Minimum 75% attendance mandatory.
National Institute of Technology Jamshedpur,Fees,What is the tuition fee for National Institute of Technology Jamshedpur?,The tuition fee for National Institute of Technology Jamshedpur is 57733 per semester.
National Institute of Technology Jamshedpur,Placements,What is the highest placement package at National Institute of Technology Jamshedpur?,The highest placement package at National Institute of Technology Jamshedpur is 31.6 Lakh Per Annum.
National Institute of Technology Jamshedpur,Facilities,Does National Institute of Technology Jamshedpur have a hostel and what is the fee?,"Yes, National Institute of Technology Jamshedpur has a hostel for both boys and girls. The fee is 62361 and the mess fee is 39237."
National Institute of Technology Jamshedpur,Facilities,What are the library timings for National Institute of Technology Jamshedpur?,The library timings for National Institute of Technology Jamshedpur are 8:00 AM to 8:00 PM.
National Institute of Technology Jamshedpur,Academics,What is the attendance rule at National Institute of Technology Jamshedpur?,The attendance rule at National Institute of Technology Jamshedpur is Minimum 75% attendance mandatory.
National Institute of Technology Kurukshetra,Fees,What is the tuition fee for National Institute of Technology Kurukshetra?,The tuition fee for National Institute of Technology Kurukshetra is 147048 per semester.
National Institute of Technology Kurukshetra,Placements,What is the highest placement package at National Institute of Technology Kurukshetra?,The highest placement package at National Institute of Technology Kurukshetra is 37.6 Lakh Per Annum.
National Institute of Technology Kurukshetra,Facilities,Does National Institute of Technology Kurukshetra have a hostel and what is the fee?,"Yes, National Institute of Technology Kurukshetra has a hostel for both boys and girls. The fee is 83693 and the mess fee is 36901."
National Institute of Technology Kurukshetra,Facilities,What are the library timings for National Institute of Technology Kurukshetra?,The library timings for National Institute of Technology Kurukshetra are 8:00 AM to 8:00 PM.
National Institute of Technology Kurukshetra,Academics,What is the attendance rule at National Institute of Technology Kurukshetra?,The attendance rule at National Institute of Technology Kurukshetra is Minimum 75% attendance mandatory.
National Institute of Technology Manipur,Fees,What is the tuition fee for National Institute of Technology Manipur?,The tuition fee for National Institute of Technology Manipur is 141877 per semester.
National Institute of Technology Manipur,Placements,What is the highest placement package at National Institute of Technology Manipur?,The highest placement package at National Institute of Technology Manipur is 43.6 Lakh Per Annum.
National Institute of Technology Manipur,Facilities,Does National Institute of Technology Manipur have a hostel and what is the fee?,"Yes, National Institute of Technology Manipur has a hostel for both boys and girls. The fee is 75261 and the mess fee is 40897."
National Institute of Technology Manipur,Facilities,What are the library timings for National Institute of Technology Manipur?,The library timings for National Institute of Technology Manipur are 8:00 AM to 8:00 PM.
National Institute of Technology Manipur,Academics,What is the attendance rule at National Institute of Technology Manipur?,The attendance rule at National Institute of Technology Manipur is Minimum 75% attendance mandatory.
National Institute of Technology Meghalaya,Fees,What is the tuition fee for National Institute of Technology Meghalaya?,The tuition fee for National Institute of Technology Meghalaya is 120882 per semester.
National Institute of Technology Meghalaya,Placements,What is the highest placement package at National Institute of Technology Meghalaya?,The highest placement package at National Institute of Technology Meghalaya is 36.4 Lakh Per Annum.
National Institute of Technology Meghalaya,Facilities,Does National Institute of Technology Meghalaya have a hostel and what is the fee?,"Yes, National Institute of Technology Meghalaya has a hostel for both boys and girls. The fee is 84022 and the mess fee is 31188."
National Institute of Technology Meghalaya,Facilities,What are the library timings for National Institute of Technology Meghalaya?,The library timings for National Institute of Technology Meghalaya are 8:00 AM to 8:00 PM.
National Institute of Technology Meghalaya,Academics,What is the attendance rule at National Institute of Technology Meghalaya?,The attendance rule at National Institute of Technology Meghalaya is Minimum 75% attendance mandatory.
National Institute of Technology Mizoram,Fees,What is the tuition fee for National Institute of Technology Mizoram?,The tuition fee for National Institute of Technology Mizoram is 51311 per semester.
National Institute of Technology Mizoram,Placements,What is the highest placement package at National Institute of Technology Mizoram?,The highest placement package at National Institute of Technology Mizoram is 44.4 Lakh Per Annum.
National Institute of Technology Mizoram,Facilities,Does National Institute of Technology Mizoram have a hostel and what is the fee?,"Yes, National Institute of Technology Mizoram has a hostel for both boys and girls. The fee is 81559 and the mess fee is 44064."
National Institute of Technology Mizoram,Facilities,What are the library timings for National Institute of Technology Mizoram?,The library timings for National Institute of Technology Mizoram are 8:00 AM to 8:00 PM.
National Institute of Technology Mizoram,Academics,What is the attendance rule at National Institute of Technology Mizoram?,The attendance rule at National Institute of Technology Mizoram is Minimum 75% attendance mandatory.
National Institute of Technology Nagaland,Fees,What is the tuition fee for National Institute of Technology Nagaland?,The tuition fee for National Institute of Technology Nagaland is 147504 per semester.
National Institute of Technology Nagaland,Placements,What is the highest placement package at National Institute of Technology Nagaland?,The highest placement package at National Institute of Technology Nagaland is 16.7 Lakh Per Annum.
National Institute of Technology Nagaland,Facilities,Does National Institute of Technology Nagaland have a hostel and what is the fee?,"Yes, National Institute of Technology Nagaland has a hostel for both boys and girls. The fee is 57037 and the mess fee is 38756."
National Institute of Technology Nagaland,Facilities,What are the library timings for National Institute of Technology Nagaland?,The library timings for National Institute of Technology Nagaland are 8:00 AM to 8:00 PM.
National Institute of Technology Nagaland,Academics,What is the attendance rule at National Institute of Technology Nagaland?,The attendance rule at National Institute of Technology Nagaland is Minimum 75% attendance mandatory.
National Institute of Technology Patna,Fees,What is the tuition fee for National Institute of Technology Patna?,The tuition fee for National Institute of Technology Patna is 137620 per semester.
National Institute of Technology Patna,Placements,What is the highest placement package at National Institute of Technology Patna?,The highest placement package at National Institute of Technology Patna is 44.9 Lakh Per Annum.
National Institute of Technology Patna,Facilities,Does National Institute of Technology Patna have a hostel and what is the fee?,"Yes, National Institute of Technology Patna has a hostel for both boys and girls. The fee is 78104 and the mess fee is 25024."
National Institute of Technology Patna,Facilities,What are the library timings for National Institute of Technology Patna?,The library timings for National Institute of Technology Patna are 8:00 AM to 8:00 PM.
National Institute of Technology Patna,Academics,What is the attendance rule at National Institute of Technology Patna?,The attendance rule at National Institute of Technology Patna is Minimum 75% attendance mandatory.
National Institute of Technology Puducherry,Fees,What is the tuition fee for National Institute of Technology Puducherry?,The tuition fee for National Institute of Technology Puducherry is 132248 per semester.
National Institute of Technology Puducherry,Placements,What is the highest placement package at National Institute of Technology Puducherry?,The highest placement package at National Institute of Technology Puducherry is 26.3 Lakh Per Annum.
National Institute of Technology Puducherry,Facilities,Does National Institute of Technology Puducherry have a hostel and what is the fee?,"Yes, National Institute of Technology Puducherry has a hostel for both boys and girls. The fee is 51081 and the mess fee is 27971."
National Institute of Technology Puducherry,Facilities,What are the library timings for National Institute of Technology Puducherry?,The library timings for National Institute of Technology Puducherry are 8:00 AM to 8:00 PM.
National Institute of Technology Puducherry,Academics,What is the attendance rule at National Institute of Technology Puducherry?,The attendance rule at National Institute of Technology Puducherry is Minimum 75% attendance mandatory.
National Institute of Technology Raipur,Fees,What is the tuition fee for National Institute of Technology Raipur?,The tuition fee for National Institute of Technology Raipur is 118383 per semester.
National Institute of Technology Raipur,Placements,What is the highest placement package at National Institute of Technology Raipur?,The highest placement package at National Institute of Technology Raipur is 35.8 Lakh Per Annum.
National Institute of Technology Raipur,Facilities,Does National Institute of Technology Raipur have a hostel and what is the fee?,"Yes, National Institute of Technology Raipur has a hostel for both boys and girls. The fee is 50918 and the mess fee is 30476."
National Institute of Technology Raipur,Facilities,What are the library timings for National Institute of Technology Raipur?,The library timings for National Institute of Technology Raipur are 8:00 AM to 8:00 PM.
National Institute of Technology Raipur,Academics,What is the attendance rule at National Institute of Technology Raipur?,The attendance rule at National Institute of Technology Raipur is Minimum 75% attendance mandatory.
National Institute of Technology Rourkela,Fees,What is the tuition fee for National Institute of Technology Rourkela?,The tuition fee for National Institute of Technology Rourkela is 75439 per semester.
National Institute of Technology Rourkela,Placements,What is the highest placement package at National Institute of Technology Rourkela?,The highest placement package at National Institute of Technology Rourkela is 28.4 Lakh Per Annum.
National Institute of Technology Rourkela,Facilities,Does National Institute of Technology Rourkela have a hostel and what is the fee?,"Yes, National Institute of Technology Rourkela has a hostel for both boys and girls. The fee is 70982 and the mess fee is 25965."
National Institute of Technology Rourkela,Facilities,What are the library timings for National Institute of Technology Rourkela?,The library timings for National Institute of Technology Rourkela are 8:00 AM to 8:00 PM.
National Institute of Technology Rourkela,Academics,What is the attendance rule at National Institute of Technology Rourkela?,The attendance rule at National Institute of Technology Rourkela is Minimum 75% attendance mandatory.
National Institute of Technology Sikkim,Fees,What is the tuition fee for National Institute of Technology Sikkim?,The tuition fee for National Institute of Technology Sikkim is 81183 per semester.
National Institute of Technology Sikkim,Placements,What is the highest placement package at National Institute of Technology Sikkim?,The highest placement package at National Institute of Technology Sikkim is 28.5 Lakh Per Annum.
National Institute of Technology Sikkim,Facilities,Does National Institute of Technology Sikkim have a hostel and what is the fee?,"Yes, National Institute of Technology Sikkim has a hostel for both boys and girls. The fee is 73021 and the mess fee is 41163."
National Institute of Technology Sikkim,Facilities,What are the library timings for National Institute of Technology Sikkim?,The library timings for National Institute of Technology Sikkim are 8:00 AM to 8:00 PM.
National Institute of Technology Sikkim,Academics,What is the attendance rule at National Institute of Technology Sikkim?,The attendance rule at National Institute of Technology Sikkim is Minimum 75% attendance mandatory.
National Institute of Technology Silchar,Fees,What is the tuition fee for National Institute of Technology Silchar?,The tuition fee for National Institute of Technology Silchar is 2026 per semester.
National Institute of Technology Silchar,Placements,What is the highest placement package at National Institute of Technology Silchar?,The highest placement package at National Institute of Technology Silchar is 23.3 Lakh Per Annum.
National Institute of Technology Silchar,Facilities,Does National Institute of Technology Silchar have a hostel and what is the fee?,"Yes, National Institute of Technology Silchar has a hostel for both boys and girls. The fee is 2026 and the mess fee is 2026."
National Institute of Technology Silchar,Facilities,What are the library timings for National Institute of Technology Silchar?,The library timings for National Institute of Technology Silchar are 8:00 AM to 8:00 PM.
National Institute of Technology Silchar,Academics,What is the attendance rule at National Institute of Technology Silchar?,The attendance rule at National Institute of Technology Silchar is Minimum 75% attendance mandatory.
National Institute of Technology Srinagar,Fees,What is the tuition fee for National Institute of Technology Srinagar?,The tuition fee for National Institute of Technology Srinagar is 116611 per semester.
National Institute of Technology Srinagar,Placements,What is the highest placement package at National Institute of Technology Srinagar?,The highest placement package at National Institute of Technology Srinagar is 25.7 Lakh Per Annum.
National Institute of Technology Srinagar,Facilities,Does National Institute of Technology Srinagar have a hostel and what is the fee?,"Yes, National Institute of Technology Srinagar has a hostel for both boys and girls. The fee is 80795 and the mess fee is 32715."
National Institute of Technology Srinagar,Facilities,What are the library timings for National Institute of Technology Srinagar?,The library timings for National Institute of Technology Srinagar are 8:00 AM to 8:00 PM.
National Institute of Technology Srinagar,Academics,What is the attendance rule at National Institute of Technology Srinagar?,The attendance rule at National Institute of Technology Srinagar is Minimum 75% attendance mandatory.
National Institute of Technology Surathkal,Fees,What is the tuition fee for National Institute of Technology Surathkal?,The tuition fee for National Institute of Technology Surathkal is 120474 per semester.
National Institute of Technology Surathkal,Placements,What is the highest placement package at National Institute of Technology Surathkal?,The highest placement package at National Institute of Technology Surathkal is 33.5 Lakh Per Annum.
National Institute of Technology Surathkal,Facilities,Does National Institute of Technology Surathkal have a hostel and what is the fee?,"Yes, National Institute of Technology Surathkal has a hostel for both boys and girls. The fee is 2020 and the mess fee is 32370."
National Institute of Technology Surathkal,Facilities,What are the library timings for National Institute of Technology Surathkal?,The library timings for National Institute of Technology Surathkal are 8:00 AM to 8:00 PM.
National Institute of Technology Surathkal,Academics,What is the attendance rule at National Institute of Technology Surathkal?,The attendance rule at National Institute of Technology Surathkal is Minimum 75% attendance mandatory.
National Institute of Technology Trichy,Fees,What is the tuition fee for National Institute of Technology Trichy?,The tuition fee for National Institute of Technology Trichy is 108026 per semester.
National Institute of Technology Trichy,Placements,What is the highest placement package at National Institute of Technology Trichy?,The highest placement package at National Institute of Technology Trichy is 20.9 Lakh Per Annum.
National Institute of Technology Trichy,Facilities,Does National Institute of Technology Trichy have a hostel and what is the fee?,"Yes, National Institute of Technology Trichy has a hostel for both boys and girls. The fee is 2026 and the mess fee is 43398."
National Institute of Technology Trichy,Facilities,What are the library timings for National Institute of Technology Trichy?,The library timings for National Institute of Technology Trichy are 8:00 AM to 8:00 PM.
National Institute of Technology Trichy,Academics,What is the attendance rule at National Institute of Technology Trichy?,The attendance rule at National Institute of Technology Trichy is Minimum 75% attendance mandatory.
National Institute of Technology Uttarakhand,Fees,What is the tuition fee for National Institute of Technology Uttarakhand?,The tuition fee for National Institute of Technology Uttarakhand is 98469 per semester.
National Institute of Technology Uttarakhand,Placements,What is the highest placement package at National Institute of Technology Uttarakhand?,The highest placement package at National Institute of Technology Uttarakhand is 32 Lakh Per Annum.
National Institute of Technology Uttarakhand,Facilities,Does National Institute of Technology Uttarakhand have a hostel and what is the fee?,"Yes, National Institute of Technology Uttarakhand has a hostel for both boys and girls. The fee is 67497 and the mess fee is 35361."
National Institute of Technology Uttarakhand,Facilities,What are the library timings for National Institute of Technology Uttarakhand?,The library timings for National Institute of Technology Uttarakhand are 8:00 AM to 8:00 PM.
National Institute of Technology Uttarakhand,Academics,What is the attendance rule at National Institute of Technology Uttarakhand?,The attendance rule at National Institute of Technology Uttarakhand is Minimum 75% attendance mandatory.
National Institute of Technology Warangal,Fees,What is the tuition fee for National Institute of Technology Warangal?,The tuition fee for National Institute of Technology Warangal is 46342 per semester.
National Institute of Technology Warangal,Placements,What is the highest placement package at National Institute of Technology Warangal?,The highest placement package at National Institute of Technology Warangal is 25.5 Lakh Per Annum.
National Institute of Technology Warangal,Facilities,Does National Institute of Technology Warangal have a hostel and what is the fee?,"Yes, National Institute of Technology Warangal has a hostel for both boys and girls. The fee is 54610 and the mess fee is 30848."
National Institute of Technology Warangal,Facilities,What are the library timings for National Institute of Technology Warangal?,The library timings for National Institute of Technology Warangal are 8:00 AM to 8:00 PM.
National Institute of Technology Warangal,Academics,What is the attendance rule at National Institute of Technology Warangal?,The attendance rule at National Institute of Technology Warangal is Minimum 75% attendance mandatory.
National Law School of India University,Fees,What is the tuition fee for National Law School of India University?,The tuition fee for National Law School of India University is 87449 per semester.
National Law School of India University,Placements,What is the highest placement package at National Law School of India University?,The highest placement package at National Law School of India University is 39.9 Lakh Per Annum.
National Law School of India University,Facilities,Does National Law School of India University have a hostel and what is the fee?,"Yes, National Law School of India University has a hostel for both boys and girls. The fee is 72442 and the mess fee is 26766."
National Law School of India University,Facilities,What are the library timings for National Law School of India University?,The library timings for National Law School of India University are 8:00 AM to 8:00 PM.
National Law School of India University,Academics,What is the attendance rule at National Law School of India University?,The attendance rule at National Law School of India University is Minimum 75% attendance mandatory.
Narsee Monjee Institute of Management Studies,Fees,What is the tuition fee for Narsee Monjee Institute of Management Studies?,The tuition fee for Narsee Monjee Institute of Management Studies is 125818 per semester.
Narsee Monjee Institute of Management Studies,Placements,What is the highest placement package at Narsee Monjee Institute of Management Studies?,The highest placement package at Narsee Monjee Institute of Management Studies is 31.0 Lakh Per Annum.
Narsee Monjee Institute of Management Studies,Facilities,Does Narsee Monjee Institute of Management Studies have a hostel and what is the fee?,"Yes, Narsee Monjee Institute of Management Studies has a hostel for both boys and girls. The fee is 45763 and the mess fee is 39724."
Narsee Monjee Institute of Management Studies,Facilities,What are the library timings for Narsee Monjee Institute of Management Studies?,The library timings for Narsee Monjee Institute of Management Studies are 8:00 AM to 8:00 PM.
Narsee Monjee Institute of Management Studies,Academics,What is the attendance rule at Narsee Monjee Institute of Management Studies?,The attendance rule at Narsee Monjee Institute of Management Studies is Minimum 75% attendance mandatory.
North Maharashtra University,Fees,What is the tuition fee for North Maharashtra University?,The tuition fee for North Maharashtra University is 115663 per semester.
North Maharashtra University,Placements,What is the highest placement package at North Maharashtra University?,The highest placement package at North Maharashtra University is 26.2 Lakh Per Annum.
North Maharashtra University,Facilities,Does North Maharashtra University have a hostel and what is the fee?,"Yes, North Maharashtra University has a hostel for both boys and girls. The fee is 58907 and the mess fee is 36404."
North Maharashtra University,Facilities,What are the library timings for North Maharashtra University?,The library timings for North Maharashtra University are 8:00 AM to 8:00 PM.
North Maharashtra University,Academics,What is the attendance rule at North Maharashtra University?,The attendance rule at North Maharashtra University is Minimum 75% attendance mandatory.
Netaji Subhas University of Technology,Fees,What is the tuition fee for Netaji Subhas University of Technology?,The tuition fee for Netaji Subhas University of Technology is 123587 per semester.
Netaji Subhas University of Technology,Placements,What is the highest placement package at Netaji Subhas University of Technology?,The highest placement package at Netaji Subhas University of Technology is 29.5 Lakh Per Annum.
Netaji Subhas University of Technology,Facilities,Does Netaji Subhas University of Technology have a hostel and what is the fee?,"Yes, Netaji Subhas University of Technology has a hostel for both boys and girls. The fee is 51013 and the mess fee is 35830."
Netaji Subhas University of Technology,Facilities,What are the library timings for Netaji Subhas University of Technology?,The library timings for Netaji Subhas University of Technology are 8:00 AM to 8:00 PM.
Netaji Subhas University of Technology,Academics,What is the attendance rule at Netaji Subhas University of Technology?,The attendance rule at Netaji Subhas University of Technology is Minimum 75% attendance mandatory.
Osmania University,Fees,What is the tuition fee for Osmania University?,The tuition fee for Osmania University is 41713 per semester.
Osmania University,Placements,What is the highest placement package at Osmania University?,The highest placement package at Osmania University is 42.9 Lakh Per Annum.
Osmania University,Facilities,Does Osmania University have a hostel and what is the fee?,"Yes, Osmania University has a hostel for both boys and girls. The fee is 48747 and the mess fee is 26994."
Osmania University,Facilities,What are the library timings for Osmania University?,The library timings for Osmania University are 8:00 AM to 8:00 PM.
Osmania University,Academics,What is the attendance rule at Osmania University?,The attendance rule at Osmania University is Minimum 75% attendance mandatory.
Sri Padmavati Women's University,Fees,What is the tuition fee for Sri Padmavati Women's University?,The tuition fee for Sri Padmavati Women's University is 124578 per semester.
Sri Padmavati Women's University,Placements,What is the highest placement package at Sri Padmavati Women's University?,The highest placement package at Sri Padmavati Women's University is 22.3 Lakh Per Annum.
Sri Padmavati Women's University,Facilities,Does Sri Padmavati Women's University have a hostel and what is the fee?,"Yes, Sri Padmavati Women's University has a hostel for both boys and girls. The fee is 55121 and the mess fee is 34356."
Sri Padmavati Women's University,Facilities,What are the library timings for Sri Padmavati Women's University?,The library timings for Sri Padmavati Women's University are 8:00 AM to 8:00 PM.
Sri Padmavati Women's University,Academics,What is the attendance rule at Sri Padmavati Women's University?,The attendance rule at Sri Padmavati Women's University is Minimum 75% attendance mandatory.
Pandit Deendayal Energy University,Fees,What is the tuition fee for Pandit Deendayal Energy University?,The tuition fee for Pandit Deendayal Energy University is 107933 per semester.
Pandit Deendayal Energy University,Placements,What is the highest placement package at Pandit Deendayal Energy University?,The highest placement package at Pandit Deendayal Energy University is 24.2 Lakh Per Annum.
